sid_metric,target_metric,rho_all,rho_late_ep10_best_final,rho_best_final
rq_val_entropy_mean,test_Recall@20,0.8309150261101181,0.8721537981729568,0.6586989430086108
rq_val_entropy_mean,test_NDCG@20,0.8118863726283262,0.8784664459746295,0.6677640974713586
rq_val_entropy_mean,val_Recall@20,0.6992355548796741,0.8667603484602497,0.6088269148469735
rq_val_entropy_mean,val_NDCG@20,0.6659002401855602,0.8600499586376352,0.5987931578264295
rq_val_entropy_min,test_Recall@20,0.828417145673518,0.8518925694931204,0.5896923870743755
rq_val_entropy_min,test_NDCG@20,0.8093597292538738,0.8471584175017391,0.5611726452928318
rq_val_entropy_min,val_Recall@20,0.7058376910251096,0.8750502986580629,0.6370714624429671
rq_val_entropy_min,val_NDCG@20,0.6715619594933102,0.880308094708329,0.6677640974713586
rq_val_sids_num_mean,test_Recall@20,0.8271602535133279,0.8564973941930832,0.605375695241247
rq_val_sids_num_mean,test_NDCG@20,0.8075261673451906,0.8490000662354386,0.5674427307150982
rq_val_sids_num_mean,val_Recall@20,0.7011735020264046,0.8722869819254585,0.6276566132443027
rq_val_sids_num_mean,val_NDCG@20,0.6671114083197645,0.8655749048387334,0.6176034140932284
rq_val_sids_num_min,test_Recall@20,0.8214066407190187,0.8288684459933064,0.4861825531730223
rq_val_sids_num_min,test_NDCG@20,0.8014288289195757,0.808483794094051,0.4106905951584412
rq_val_sids_num_min,val_Recall@20,0.7010054112071337,0.8483382369095537,0.5648909519198723
rq_val_sids_num_min,val_NDCG@20,0.6654974374420505,0.8582083099039358,0.586252986981897
sid_unique_total,test_Recall@20,0.8208619252864541,0.7957137081535741,0.3983560274385408
sid_unique_total,test_NDCG@20,0.7978368222715556,0.7771757656211606,0.3229093992467133
sid_unique_total,val_Recall@20,0.6911204012027405,0.8124151193856963,0.4236682139399042
sid_unique_total,val_NDCG@20,0.6557264278582434,0.8011171991592533,0.3981504243139087
sid_collisions,test_Recall@20,-0.8208619252864541,-0.7957137081535741,-0.3983560274385408
sid_collisions,test_NDCG@20,-0.7978368222715556,-0.7771757656211606,-0.3229093992467133
sid_collisions,val_Recall@20,-0.6911204012027405,-0.8124151193856963,-0.4236682139399042
sid_collisions,val_NDCG@20,-0.6557264278582434,-0.8011171991592533,-0.3981504243139087
sid_icr,test_Recall@20,0.8208619252864541,0.7957137081535741,0.3983560274385408
sid_icr,test_NDCG@20,0.7978368222715556,0.7771757656211606,0.3229093992467133
sid_icr,val_Recall@20,0.6911204012027405,0.8124151193856963,0.4236682139399042
sid_icr,val_NDCG@20,0.6557264278582434,0.8011171991592533,0.3981504243139087
sid_path_avg_similarity,test_Recall@20,0.8229209941298551,0.7947927432135816,0.3952193658051665
sid_path_avg_similarity,test_NDCG@20,0.7992902240326009,0.7790174143548602,0.32917948466897956
sid_path_avg_similarity,val_Recall@20,0.6959652690695666,0.8271528086262532,0.4738807429994485
sid_path_avg_similarity,val_NDCG@20,0.6610555676487426,0.8195336864962476,0.4608512785365715
rqvae_best_val_loss,test_Recall@20,-0.8220879580084774,-0.8179756640308942,-0.45925589594629335
rqvae_best_val_loss,test_NDCG@20,-0.8016940102376039,-0.8103903701499033,-0.41967438686113795
rqvae_best_val_loss,val_Recall@20,-0.6969862978712699,-0.8498171303245567,-0.5382635786585479
rqvae_best_val_loss,val_NDCG@20,-0.6621406165765714,-0.8495576837820045,-0.5508226327552437
rqvae_total_loss,test_Recall@20,-0.824011089399891,-0.8058443224934924,-0.4328593054056586
rqvae_total_loss,test_NDCG@20,-0.8051038310767819,-0.7900673067570566,-0.36679999720257733
rqvae_total_loss,val_Recall@20,-0.7150217493457492,-0.84189049786681,-0.5240932720589926
rqvae_total_loss,val_NDCG@20,-0.6790616005772475,-0.8453167687680397,-0.5486324744482993
