slice,sid_metric,target_metric,n,n_unique_sid,n_unique_target,spearman_rho,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,abs_spearman
tie_break=count,entropy_l3,Recall@20,6,6,6,0.6571428571428573,0.1561749271137024,0.5892761717410183,0.21839775894913208,0.4666666666666666,0.2722222222222222,0.6571428571428573
tie_break=count,gamma,Recall@20,6,2,6,0.6546536707079772,0.15830242337545788,0.9877662711939772,0.00022358070561787793,0.5773502691896257,0.14323490752466972,0.6546536707079772
tie_break=count,pas_behavioral,Recall@20,6,6,6,0.48571428571428577,0.3287230320699708,0.9069797222123238,0.012576716488301231,0.3333333333333333,0.46944444444444444,0.48571428571428577
tie_break=count,pas_emb,Recall@20,6,6,6,0.3714285714285715,0.4684781341107872,0.9866858296122404,0.0002647206172642303,0.3333333333333333,0.46944444444444444,0.3714285714285715
tie_break=count,n_layers,Recall@20,6,1,6,,,,,,,
tie_break=count,codebook_size,Recall@20,6,1,6,,,,,,,
tie_break=count,embed_dim,Recall@20,6,1,6,,,,,,,
tie_break=count,beta,Recall@20,6,1,6,,,,,,,
tie_break=count,ema_decay,Recall@20,6,1,6,,,,,,,
tie_break=count,temperature,Recall@20,6,1,6,,,,,,,
tie_break=count,margin,Recall@20,1,1,1,,,,,,,
tie_break=count,unique_l3,Recall@20,6,1,6,,,,,,,
tie_break=count,entropy_mean,Recall@5,6,6,6,0.942857142857143,0.004804664723032055,0.9774150441565131,0.000759360275937669,0.8666666666666666,0.016666666666666666,0.942857142857143
tie_break=count,unique_total_base,Recall@5,6,6,6,0.942857142857143,0.004804664723032055,0.9733075277418058,0.001059223078790176,0.8666666666666666,0.016666666666666666,0.942857142857143
tie_break=count,n_collisions,Recall@5,6,6,6,-0.942857142857143,0.004804664723032055,-0.9733075277418057,0.0010592230787901937,-0.8666666666666666,0.016666666666666666,0.942857142857143
tie_break=count,cfr,Recall@5,6,6,6,0.942857142857143,0.004804664723032055,0.973307527741806,0.001059223078790176,0.8666666666666666,0.016666666666666666,0.942857142857143
tie_break=count,cur_total,Recall@5,6,6,6,0.942857142857143,0.004804664723032055,0.973307527741806,0.001059223078790176,0.8666666666666666,0.016666666666666666,0.942857142857143
tie_break=count,zipf_alpha_full,Recall@5,6,6,6,-0.942857142857143,0.004804664723032055,-0.9759725107502168,0.0008590445815467499,-0.8666666666666666,0.016666666666666666,0.942857142857143
tie_break=count,entropy_min,Recall@5,6,6,6,0.8857142857142858,0.01884548104956266,0.9725867484629721,0.001116929197444169,0.7333333333333333,0.05555555555555555,0.8857142857142858
tie_break=count,entropy_l1,Recall@5,6,6,6,0.8285714285714287,0.04156268221574335,0.9614848932678858,0.0021965532562676533,0.7333333333333333,0.05555555555555555,0.8285714285714287
tie_break=count,entropy_l2,Recall@5,6,6,6,0.8285714285714287,0.04156268221574335,0.6492440631482489,0.16296788723635375,0.7333333333333333,0.05555555555555555,0.8285714285714287
tie_break=count,entropy_l0,Recall@5,6,6,6,0.7714285714285715,0.07239650145772594,0.968982001328863,0.0014282529021928474,0.6,0.1361111111111111,0.7714285714285715
tie_break=count,entropy_l3,Recall@5,6,6,6,0.7142857142857143,0.11078717201166179,0.6201925153705938,0.18898626577817734,0.6,0.1361111111111111,0.7142857142857143
tie_break=count,unique_l0,Recall@5,6,3,6,0.6761234037828132,0.14035738661899466,0.9685613489220564,0.0014670463673839807,0.6024640760767093,0.11446073756370402,0.6761234037828132
tie_break=count,unique_l1,Recall@5,6,3,6,0.6761234037828132,0.14035738661899466,0.9665471055652894,0.0016599257164716167,0.6024640760767093,0.11446073756370402,0.6761234037828132
