train_seed,tiebreak,vocab,max_dupe,unique_sids,collapsed,Recall@1,Recall@5,Recall@10,Recall@20,NDCG@1,NDCG@5,NDCG@10,NDCG@20,val_loss_best
3,base_only,770,0,10700,1401,0.0082,0.0289,0.0483,0.079,0.0082,0.0183,0.0245,0.0322,1.6469
3,count,784,14,12101,0,0.0069,0.0268,0.0464,0.0793,0.0069,0.0167,0.023,0.0312,1.3365
3,centroid,784,14,12101,0,0.0068,0.0272,0.0497,0.0817,0.0068,0.0168,0.024,0.032,1.3299
3,popularity,784,14,12101,0,0.0072,0.0271,0.0471,0.0805,0.0072,0.0173,0.0237,0.0321,1.3405
3,semantic_strict,790,20,12101,0,0.0078,0.0285,0.0499,0.0851,0.0078,0.0182,0.0251,0.034,1.294
4,base_only,770,0,10700,1401,0.0069,0.028,0.0478,0.0777,0.0069,0.0173,0.0236,0.0311,1.6316
4,count,784,14,12101,0,0.0073,0.0271,0.0479,0.083,0.0073,0.0171,0.0237,0.0325,1.3415
4,centroid,784,14,12101,0,0.0076,0.0288,0.0492,0.0804,0.0076,0.0181,0.0246,0.0324,1.3417
4,popularity,784,14,12101,0,0.0074,0.0273,0.0492,0.0816,0.0074,0.0173,0.0243,0.0325,1.3393
4,semantic_strict,790,20,12101,0,0.0068,0.0284,0.0499,0.0826,0.0068,0.0175,0.0244,0.0326,1.3119
