slice,sid_metric,target_metric,n,n_unique_sid,n_unique_target,spearman_rho,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,abs_spearman
raw_all_rows,n_collisions,NDCG@1,11,6,10,-0.19816509882593875,0.5591536434798087,-0.47784179281482553,0.13713861614561784,-0.13471506281091267,0.5789100661590745,0.19816509882593875
raw_all_rows,cfr,NDCG@1,11,6,10,0.19816509882593875,0.5591536434798087,0.4778417928148254,0.13713861614561784,0.13471506281091267,0.5789100661590745,0.19816509882593875
raw_all_rows,cur_total,NDCG@1,11,6,10,0.19816509882593875,0.5591536434798087,0.47784179281482503,0.13713861614561823,0.13471506281091267,0.5789100661590745,0.19816509882593875
raw_all_rows,zipf_alpha_full,NDCG@1,11,6,10,-0.19816509882593875,0.5591536434798087,-0.4750633612217466,0.13976547476303494,-0.13471506281091267,0.5789100661590745,0.19816509882593875
raw_all_rows,pas_emb,NDCG@1,11,6,10,0.18894811748519744,0.5779278216328015,0.48523465250921227,0.1303019760140832,0.13471506281091267,0.5789100661590745,0.18894811748519744
raw_all_rows,entropy_l1,NDCG@1,11,6,10,0.14286321078149072,0.6751842568701595,0.4415929641894758,0.1739093188720705,0.13471506281091267,0.5789100661590745,0.14286321078149072
raw_all_rows,entropy_l2,NDCG@1,11,6,10,0.11982075742963738,0.7256547923244632,0.01781504538651823,0.9585381970884158,0.057735026918962574,0.8119993835788952,0.11982075742963738
raw_all_rows,entropy_l0,NDCG@1,11,6,10,0.10599528541852539,0.7564282865418906,0.489047982441718,0.12686202224780663,0.13471506281091267,0.5789100661590745,0.10599528541852539
raw_all_rows,max_dupe,NDCG@1,11,6,10,-0.07834434139630138,0.8188981102895322,-0.4231984509544349,0.19466316682403156,-0.13471506281091267,0.5789100661590745,0.07834434139630138
raw_all_rows,entropy_l3,NDCG@1,11,6,10,0.06451886938518936,0.8505137906021056,0.039928556336863395,0.907210660870489,0.057735026918962574,0.8119993835788952,0.06451886938518936
raw_all_rows,entropy_min,NDCG@1,11,6,10,0.023042453351853343,0.9463855609355984,0.4781104133998741,0.13688631824758557,-0.019245008972987525,0.9368079280695977,0.023042453351853343
raw_all_rows,n_layers,NDCG@1,11,1,10,,,,,,,
raw_all_rows,codebook_size,NDCG@1,11,1,10,,,,,,,
raw_all_rows,embed_dim,NDCG@1,11,1,10,,,,,,,
raw_all_rows,beta,NDCG@1,11,1,10,,,,,,,
raw_all_rows,ema_decay,NDCG@1,11,1,10,,,,,,,
raw_all_rows,temperature,NDCG@1,11,1,10,,,,,,,
raw_all_rows,margin,NDCG@1,1,1,1,,,,,,,
raw_all_rows,unique_l3,NDCG@1,11,1,10,,,,,,,
raw_all_rows,entropy_mean,NDCG@10,11,6,10,0.7327500165889363,0.010316775964022938,0.9376320996185329,2.0206850070628976e-05,0.5965952781626133,0.013980758261535968,0.7327500165889363
raw_all_rows,unique_total_base,NDCG@10,11,6,10,0.7327500165889363,0.010316775964022938,0.934510236297565,2.505908917043674e-05,0.5965952781626133,0.013980758261535968,0.7327500165889363
raw_all_rows,n_collisions,NDCG@10,11,6,10,-0.7327500165889363,0.010316775964022938,-0.9345102362975652,2.5059089170436312e-05,-0.5965952781626133,0.013980758261535968,0.7327500165889363
raw_all_rows,cfr,NDCG@10,11,6,10,0.7327500165889363,0.010316775964022938,0.9345102362975656,2.5059089170435953e-05,0.5965952781626133,0.013980758261535968,0.7327500165889363
raw_all_rows,cur_total,NDCG@10,11,6,10,0.7327500165889363,0.010316775964022938,0.9345102362975651,2.505908917043674e-05,0.5965952781626133,0.013980758261535968,0.7327500165889363
raw_all_rows,zipf_alpha_full,NDCG@10,11,6,10,-0.7327500165889363,0.010316775964022938,-0.9398540736353347,1.7219302077767852e-05,-0.5965952781626133,0.013980758261535968,0.7327500165889363
raw_all_rows,entropy_l2,NDCG@10,11,6,10,0.6774481285444883,0.022005748839214606,0.5424582764589365,0.0846943390093004,0.5196152422706631,0.032304096454665795,0.6774481285444883
raw_all_rows,pas_behavioral,NDCG@10,11,6,10,0.6590141658630055,0.027421990599358907,0.8585252046770423,0.0007163003214641265,0.5581052602166382,0.021494016117075035,0.6590141658630055
raw_all_rows,unique_l0,NDCG@10,11,3,10,0.610661243021916,0.0459779189560761,0.9283683848975334,3.7173789280845615e-05,0.5337605126836238,0.04355909141025417,0.610661243021916
raw_all_rows,unique_l1,NDCG@10,11,3,10,0.610661243021916,0.0459779189560761,0.9211678468160879,5.660099137363328e-05,0.5337605126836238,0.04355909141025417,0.610661243021916
raw_all_rows,unique_l2,NDCG@10,11,3,10,0.610661243021916,0.0459779189560761,0.8387479247966755,0.0012525148029009557,0.5337605126836238,0.04355909141025417,0.610661243021916
raw_all_rows,entropy_min,NDCG@10,11,6,10,0.557627371114851,0.07468667694778676,0.9307290948983045,3.2081297718437095e-05,0.44263520637871306,0.06822808679705429,0.557627371114851
raw_all_rows,entropy_l1,NDCG@10,11,6,10,0.557627371114851,0.07468667694778676,0.9158290033107973,7.54164465281208e-05,0.44263520637871306,0.06822808679705429,0.557627371114851
raw_all_rows,entropy_l0,NDCG@10,11,6,10,0.5207594457518856,0.10049542251304476,0.9278841501255066,3.82907922114861e-05,0.365655170486763,0.13197287495492677,0.5207594457518856
raw_all_rows,entropy_l3,NDCG@10,11,6,10,0.5023254830704029,0.11533941889392824,0.5200513922346878,0.10104118800694706,0.365655170486763,0.13197287495492677,0.5023254830704029
raw_all_rows,gamma,NDCG@10,11,2,10,0.5011402523360258,0.11633945886179559,0.9183565437051551,6.599377482958446e-05,0.4303314829119352,0.11302436851255683,0.5011402523360258
raw_all_rows,pas_emb,NDCG@10,11,6,10,0.33641981893705886,0.31173839609592374,0.92152639699187,5.548104689438575e-05,0.2501851166488378,0.30269444491762354,0.33641981893705886
raw_all_rows,max_dupe,NDCG@10,11,6,10,-0.1336462294407494,0.6952412193060609,-0.8879920119460074,0.00026175157270632747,-0.057735026918962574,0.8119993835788952,0.1336462294407494
raw_all_rows,n_layers,NDCG@10,11,1,10,,,,,,,
raw_all_rows,codebook_size,NDCG@10,11,1,10,,,,,,,
raw_all_rows,embed_dim,NDCG@10,11,1,10,,,,,,,
raw_all_rows,beta,NDCG@10,11,1,10,,,,,,,
raw_all_rows,ema_decay,NDCG@10,11,1,10,,,,,,,
raw_all_rows,temperature,NDCG@10,11,1,10,,,,,,,
raw_all_rows,margin,NDCG@10,1,1,1,,,,,,,
raw_all_rows,unique_l3,NDCG@10,11,1,10,,,,,,,
raw_all_rows,entropy_mean,NDCG@20,11,6,9,0.7898572950972258,0.003825380280246721,0.9755636081283999,3.1500413388745777e-07,0.6604743864029395,0.006864653330939174,0.7898572950972258
raw_all_rows,unique_total_base,NDCG@20,11,6,9,0.7898572950972258,0.003825380280246721,0.9717996959435152,5.969358830546932e-07,0.6604743864029395,0.006864653330939174,0.7898572950972258
raw_all_rows,n_collisions,NDCG@20,11,6,9,-0.7898572950972258,0.003825380280246721,-0.9717996959435152,5.969358830546932e-07,-0.6604743864029395,0.006864653330939174,0.7898572950972258
raw_all_rows,cfr,NDCG@20,11,6,9,0.7898572950972258,0.003825380280246721,0.9717996959435152,5.969358830546932e-07,0.6604743864029395,0.006864653330939174,0.7898572950972258
